# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.3, 'use_loader': False, 'walk_length': 10, 'num_steps': 5}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	2.1858    	10.7434    	9.7485    	10372.0000
1000	1.2290    	6.3959    	5.6927    	10372.0000
1500	0.9243    	3.1526    	2.6514    	10372.0000
2000	0.8769    	2.2862    	1.8643    	10372.0000
2500	0.8571    	1.8718    	1.5143    	10372.0000
3000	0.8797    	1.6777    	1.3087    	10372.0000
3500	0.8608    	1.6219    	1.2613    	10372.0000
4000	0.8253    	1.5846    	1.2325    	10372.0000
4500	0.8274    	1.3802    	1.0828    	10372.0000
5000	0.8327    	1.2663    	0.9963    	10372.0000
5500	0.8096    	1.3188    	1.0221    	10372.0000
6000	0.8213    	1.2156    	0.9362    	10372.0000
6500	0.8044    	1.1503    	0.8879    	10372.0000
7000	0.7562    	1.1526    	0.9070    	10372.0000
7500	0.7855    	1.0642    	0.8388    	10372.0000
8000	0.7610    	1.0136    	0.8049    	10372.0000
8500	0.7376    	1.0226    	0.8248    	10372.0000
9000	0.7559    	0.9235    	0.7545    	10372.0000
9500	0.7558    	0.8837    	0.7306    	10372.0000
10000	0.7488    	0.8494    	0.7125    	10372.0000
10500	0.7473    	0.8534    	0.7177    	10372.0000
11000	0.7252    	0.8155    	0.7011    	10372.0000
11500	0.7452    	0.7980    	0.6883    	10372.0000
12000	0.7334    	0.7715    	0.6788    	10372.0000
12500	0.7384    	0.7284    	0.6546    	10372.0000
13000	0.7358    	0.7102    	0.6435    	10372.0000
13500	0.7461    	0.7193    	0.6497    	10372.0000
14000	0.7134    	0.7075    	0.6652    	10372.0000
14500	0.7162    	0.6881    	0.6536    	10372.0000
15000	0.7268    	0.6627    	0.6355    	10372.0000
15500	0.7150    	0.6447    	0.6288    	10372.0000
16000	0.7511    	0.6225    	0.6063    	10372.0000
16500	0.7431    	0.5949    	0.5924    	10372.0000
17000	0.7230    	0.5893    	0.5991    	10372.0000
17500	0.7077    	0.5949    	0.6124    	10372.0000
18000	0.7170    	0.5754    	0.6004    	10372.0000
18500	0.7300    	0.5557    	0.5775    	10372.0000
19000	0.7216    	0.5503    	0.5809    	10372.0000
19500	0.7134    	0.5397    	0.5817    	10372.0000
20000	0.7155    	0.5557    	0.5921    	10372.0000

# Best Test_Err: 0.5561469793319702
