# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.6, 'use_loader': False, 'walk_length': 10, 'num_steps': 5}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	2.1291    	2.0629    	1.6113    	10372.0000
1000	1.2676    	0.7409    	0.8815    	10372.0000
1500	1.3965    	0.6614    	0.7647    	10372.0000
2000	1.5012    	0.7721    	0.8375    	10372.0000
2500	1.4534    	0.8244    	0.8411    	10372.0000
3000	1.4380    	0.8810    	0.8507    	10372.0000
3500	1.4856    	1.0182    	0.9172    	10372.0000
4000	1.4761    	0.9429    	0.8790    	10372.0000
4500	1.4062    	0.8443    	0.8213    	10372.0000
5000	1.4516    	0.9399    	0.8583    	10372.0000
5500	1.4763    	1.0417    	0.9190    	10372.0000
6000	1.3978    	0.9285    	0.8356    	10372.0000
6500	1.3483    	0.9463    	0.8255    	10372.0000
7000	1.4457    	1.0138    	0.8812    	10372.0000
7500	1.4031    	1.0455    	0.8865    	10372.0000
8000	1.4058    	1.0759    	0.8936    	10372.0000
8500	1.4366    	1.0800    	0.9077    	10372.0000
9000	1.4031    	1.1228    	0.9183    	10372.0000
9500	1.4112    	1.1688    	0.9364    	10372.0000
10000	1.4293    	1.2247    	0.9802    	10372.0000
10500	1.3716    	1.1716    	0.9268    	10372.0000
11000	1.3909    	1.2450    	0.9846    	10372.0000
11500	1.3580    	1.2477    	0.9655    	10372.0000
12000	1.4699    	1.4511    	1.1067    	10372.0000

# Best Test_Err: 0.7371113300323486
