# {'n_epoch': 10000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.2, 'use_loader': False, 'walk_batch': 10000, 'walk_length': 10, 'num_steps': 5, 'residual_prob': 0.2}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	2.0554    	4.2105    	2.1401    	10372.0000
1000	1.3003    	2.3161    	1.1783    	10372.0000
1500	1.0303    	1.0207    	0.8597    	10372.0000
2000	0.9950    	0.7191    	0.8071    	10372.0000
2500	0.9769    	0.6574    	0.7768    	10372.0000
3000	0.9379    	0.6339    	0.7376    	10372.0000
3500	0.9185    	0.6320    	0.7598    	10372.0000
4000	0.9000    	0.6357    	0.7223    	10372.0000
4500	0.8824    	0.6360    	0.7473    	10372.0000
5000	0.8569    	0.6396    	0.7279    	10372.0000
5500	0.8433    	0.6466    	0.7232    	10372.0000
6000	0.8259    	0.6453    	0.7249    	10372.0000
6500	0.8079    	0.6457    	0.7150    	10372.0000
7000	0.8078    	0.6173    	0.6743    	10372.0000
7500	0.7876    	0.6145    	0.6690    	10372.0000
8000	0.7689    	0.6005    	0.6419    	10372.0000
8500	0.7649    	0.6103    	0.6562    	10372.0000
9000	0.7527    	0.6066    	0.6533    	10372.0000
9500	0.7451    	0.6016    	0.6454    	10372.0000
10000	0.7361    	0.6063    	0.6637    	10372.0000

# Best Test_Err: 0.6297647356987
