# {'n_epoch': 10000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.2, 'use_loader': False, 'walk_batch': 10000, 'walk_length': 10, 'num_steps': 5, 'residual_prob': 0.6}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	2.0435    	7.6500    	2.4810    	10372.0000
1000	1.2097    	7.0592    	1.8795    	10372.0000
1500	0.9247    	2.9041    	1.0316    	10372.0000
2000	0.8738    	1.5833    	0.7942    	10372.0000
2500	0.8333    	1.1984    	0.7178    	10372.0000
3000	0.8125    	1.0986    	0.6924    	10372.0000
3500	0.7979    	1.0579    	0.6757    	10372.0000
4000	0.8000    	1.1216    	0.6737    	10372.0000
4500	0.7699    	1.0691    	0.6533    	10372.0000
5000	0.7651    	0.9823    	0.6451    	10372.0000
5500	0.7481    	1.0468    	0.6385    	10372.0000
6000	0.7451    	1.0339    	0.6349    	10372.0000
6500	0.7337    	1.0438    	0.6315    	10372.0000
7000	0.7294    	1.0616    	0.6388    	10372.0000
7500	0.7383    	1.1602    	0.6596    	10372.0000
8000	0.7210    	1.0875    	0.6401    	10372.0000
8500	0.7184    	1.0954    	0.6481    	10372.0000
9000	0.7058    	1.0608    	0.6389    	10372.0000
9500	0.7082    	1.1233    	0.6477    	10372.0000
10000	0.7129    	1.1746    	0.6704    	10372.0000

# Best Test_Err: 0.6124010682106018
