# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.2, 'use_loader': True, 'walk_batch': 10000, 'walk_length': 10, 'num_steps': 5}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	3.0534    	6.8081    	2.8162    	6949.0000
1000	2.1038    	5.5905    	2.0236    	6917.0000
1500	1.4293    	4.2241    	1.5092    	6957.0000
2000	0.9978    	2.5404    	1.1373    	6994.0000
2500	0.9343    	2.2132    	1.0447    	7000.0000
3000	0.9229    	2.2818    	1.1215    	6974.0000
3500	0.9519    	2.3920    	1.2642    	6967.0000
4000	0.8983    	1.9692    	1.0678    	6920.0000
4500	0.8745    	2.0679    	1.0490    	6955.0000
5000	0.8766    	2.3283    	1.1338    	6973.0000
5500	0.8673    	1.9911    	1.0904    	6958.0000
6000	0.8745    	2.2604    	1.1676    	6995.0000
6500	0.9080    	2.1157    	1.2111    	7030.0000
7000	0.8833    	2.1695    	1.1819    	6910.0000
7500	0.8611    	2.1914    	1.1864    	6884.0000
8000	0.8585    	2.1971    	1.1993    	6946.0000
8500	0.8453    	2.1421    	1.1882    	6930.0000
9000	0.8406    	2.0471    	1.1602    	6979.0000
9500	0.8322    	1.9476    	1.1600    	6925.0000
10000	0.8095    	2.1204    	1.1728    	6909.0000
10500	0.8094    	2.3447    	1.2535    	6916.0000
11000	0.8051    	2.1333    	1.1869    	6983.0000
11500	0.8432    	2.2875    	1.2969    	6939.0000
12000	0.7988    	1.9898    	1.1397    	6952.0000
12500	0.7990    	2.0752    	1.1685    	7010.0000
13000	0.8478    	2.2391    	1.3051    	6965.0000
13500	0.8053    	2.0672    	1.1764    	6938.0000
14000	0.7916    	1.9643    	1.1292    	6949.0000
14500	0.8152    	2.1491    	1.2151    	6963.0000
15000	0.7940    	2.1006    	1.1695    	7002.0000
15500	0.7847    	1.8821    	1.0937    	6996.0000
16000	0.8104    	2.1181    	1.2050    	6934.0000
16500	0.7910    	1.9644    	1.1122    	7005.0000
17000	0.7951    	1.8522    	1.0869    	6920.0000
17500	0.7810    	1.9281    	1.1120    	6963.0000
18000	0.7852    	1.8626    	1.0887    	6975.0000
18500	0.7893    	1.9182    	1.1182    	6981.0000
19000	0.7745    	1.9347    	1.0849    	6987.0000
19500	0.7913    	1.9589    	1.1286    	6946.0000
20000	0.7825    	1.9012    	1.1001    	6943.0000

# Best Test_Err: 0.9348835945129395
