# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.1, 'use_loader': True, 'walk_length': 10, 'num_steps': 5}
# Best Test_Err: 0.9111666679382324
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	2.6739    	2.9649    	1.6435    	4748.0000
1000	1.7960    	3.3415    	1.2076    	4818.0000
1500	1.1470    	2.9087    	1.1840    	4802.0000
2000	1.1979    	2.8468    	1.4764    	4824.0000
2500	0.9774    	2.5063    	1.1752    	4804.0000
3000	0.9920    	2.9216    	1.3676    	4811.0000
3500	1.0702    	2.9642    	1.5226    	4763.0000
4000	0.9982    	2.7941    	1.4051    	4808.0000
4500	0.9551    	2.8784    	1.4103    	4795.0000
5000	1.0348    	2.9175    	1.5385    	4784.0000
5500	0.9767    	3.0903    	1.5452    	4847.0000
6000	0.9634    	2.8738    	1.4975    	4808.0000
6500	0.8889    	3.0450    	1.4211    	4781.0000
7000	0.9024    	2.5968    	1.3301    	4806.0000
7500	0.9407    	3.3154    	1.6248    	4821.0000
8000	0.8679    	2.7155    	1.3533    	4747.0000
8500	0.8962    	3.0077    	1.5130    	4763.0000
9000	0.8741    	2.7014    	1.3511    	4825.0000
9500	0.9003    	3.2237    	1.5923    	4808.0000
10000	0.8672    	2.9216    	1.4532    	4796.0000
10500	0.8900    	2.8673    	1.4777    	4793.0000
11000	0.8670    	3.0178    	1.4837    	4794.0000
11500	0.8442    	2.7493    	1.3732    	4809.0000
12000	0.8867    	2.8551    	1.4689    	4802.0000
12500	0.8891    	2.9649    	1.5198    	4816.0000
13000	0.8518    	2.5110    	1.3049    	4794.0000
13500	0.8781    	2.7302    	1.4206    	4787.0000
14000	0.8727    	2.7917    	1.4405    	4823.0000
14500	0.8614    	2.9632    	1.4817    	4791.0000
15000	0.8650    	2.8734    	1.4616    	4769.0000
15500	0.8594    	2.8190    	1.4197    	4835.0000
16000	0.8917    	2.9199    	1.4767    	4811.0000
16500	0.9049    	2.8064    	1.4972    	4771.0000
17000	0.9754    	3.1856    	1.7033    	4792.0000
17500	0.8682    	2.7795    	1.4342    	4803.0000
18000	0.9085    	2.7769    	1.4709    	4780.0000
18500	0.8527    	2.4747    	1.2975    	4790.0000
19000	0.8811    	2.6004    	1.3711    	4813.0000
19500	0.8558    	2.6679    	1.3603    	4742.0000
20000	0.8248    	2.3974    	1.2176    	4784.0000
