idx	Train_Err	Valid_Err	Test_Err
0500	1.5754    	1.6870    	2.5195
1000	1.0069    	1.0315    	1.6481
1500	0.8345    	0.7842    	1.4153
2000	0.7926    	0.8487    	1.3325
2500	0.7750    	0.8834    	1.2631
3000	0.7539    	0.9103    	1.2510
3500	0.7363    	0.8933    	1.2043
4000	0.7222    	0.9317    	1.1896
4500	0.7072    	0.8956    	1.1435
5000	0.6909    	0.8793    	1.1190
5500	0.6800    	0.7974    	1.0309
6000	0.6731    	0.7181    	0.9657
6500	0.6657    	0.6415    	0.8881
7000	0.6611    	0.6191    	0.8611
7500	0.6595    	0.5659    	0.7960
8000	0.6564    	0.5230    	0.7537
8500	0.6517    	0.5034    	0.7329
9000	0.6492    	0.4762    	0.7053
9500	0.6457    	0.4696    	0.6960
10000	0.6462    	0.4498    	0.6595
10500	0.6423    	0.4400    	0.6446
11000	0.6411    	0.4355    	0.6360
11500	0.6396    	0.4322    	0.6228
12000	0.6408    	0.4377    	0.5937
12500	0.6377    	0.4439    	0.5809
13000	0.6355    	0.4483    	0.5771
13500	0.6345    	0.4566    	0.5693
14000	0.6378    	0.4736    	0.5579
14500	0.6343    	0.5239    	0.5506
15000	0.6302    	0.5296    	0.5515
15500	0.6311    	0.5271    	0.5499
16000	0.6336    	0.6252    	0.5486
16500	0.6330    	0.6521    	0.5523
17000	0.6267    	0.6557    	0.5522
17500	0.6299    	0.7626    	0.5652
18000	0.6273    	0.7689    	0.5689
18500	0.6268    	0.8658    	0.5849
19000	0.6246    	0.9250    	0.5940
19500	0.6249    	1.0701    	0.6232
20000	0.6214    	1.1087    	0.6353
